,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,0.7%,3.6%,3.8%,-1.1%,3.8%,5.0%,-1.4%,-3.7%,-0.8%,0.1%,-4.6%,3.6%,8.8%
1,1974,5.7%,4.6%,2.2%,1.1%,-0.8%,-0.9%,-1.3%,2.6%,0.0%,1.7%,4.0%,0.7%,21.1%
2,1975,-0.7%,1.1%,-0.2%,0.5%,0.5%,1.8%,-1.9%,-2.2%,-2.8%,2.1%,1.0%,0.4%,-0.6%
3,1976,6.6%,1.4%,0.6%,0.7%,-1.4%,2.6%,1.5%,1.8%,1.8%,0.1%,2.1%,5.3%,25.4%
4,1977,-2.1%,-0.4%,0.6%,0.4%,-1.0%,1.9%,1.4%,1.8%,1.2%,1.7%,0.8%,1.0%,7.4%
5,1978,1.2%,1.4%,3.1%,-0.7%,0.8%,0.9%,5.5%,2.8%,1.9%,2.6%,-6.4%,6.5%,20.6%
6,1979,2.1%,2.4%,1.4%,0.8%,2.4%,3.2%,3.2%,5.1%,6.2%,-5.0%,4.5%,7.4%,38.8%
7,1980,10.5%,0.0%,-10.8%,1.7%,2.4%,8.1%,2.3%,1.9%,2.5%,1.9%,2.1%,-2.8%,19.9%
8,1981,-3.8%,1.3%,2.0%,-0.3%,0.7%,1.0%,0.4%,-0.0%,1.2%,1.2%,0.9%,1.0%,5.5%
9,1982,1.0%,1.0%,1.2%,1.0%,1.2%,1.1%,0.9%,4.0%,4.0%,7.2%,3.1%,1.8%,30.7%
10,1983,0.9%,3.1%,3.2%,5.3%,-1.6%,0.2%,-3.1%,0.2%,1.9%,-0.3%,1.4%,2.0%,13.8%
11,1984,3.1%,0.3%,2.3%,0.3%,-2.6%,0.3%,-1.0%,1.7%,1.9%,1.1%,1.4%,1.3%,10.5%
12,1985,3.0%,-0.8%,1.6%,1.4%,6.1%,1.5%,-0.1%,1.6%,1.0%,3.9%,2.9%,4.5%,29.8%
13,1986,1.8%,7.8%,8.4%,1.7%,-2.4%,4.9%,0.9%,4.8%,-1.7%,-0.7%,2.1%,0.9%,31.7%
14,1987,4.8%,2.2%,3.1%,3.5%,-0.6%,0.1%,0.8%,0.9%,-1.2%,-6.7%,1.7%,0.6%,9.2%
15,1988,-0.7%,0.1%,1.9%,0.1%,-0.8%,0.9%,0.3%,-1.4%,1.9%,1.4%,0.4%,1.1%,5.3%
16,1989,2.0%,0.3%,-0.3%,1.4%,3.0%,2.8%,4.2%,-0.3%,-0.1%,0.4%,0.8%,0.6%,15.6%
17,1990,-4.2%,0.5%,0.8%,-1.6%,3.4%,0.8%,0.4%,0.7%,0.5%,-1.3%,0.6%,0.5%,1.0%
18,1991,0.5%,2.4%,1.0%,1.2%,2.4%,-2.0%,1.0%,2.3%,1.6%,1.2%,-0.7%,4.0%,16.0%
19,1992,0.4%,0.4%,-1.1%,1.1%,1.2%,-0.1%,3.8%,0.1%,1.4%,-1.2%,2.1%,2.0%,10.6%
20,1993,3.1%,3.3%,3.1%,-1.5%,0.5%,2.1%,2.0%,4.0%,1.0%,1.3%,-4.5%,1.9%,17.2%
21,1994,3.9%,-0.6%,-2.6%,-0.2%,1.1%,-0.1%,0.3%,0.8%,-0.1%,0.4%,-1.2%,0.5%,2.1%
22,1995,-0.6%,0.4%,1.1%,1.5%,4.1%,1.2%,0.3%,3.0%,2.4%,1.5%,2.9%,2.8%,22.4%
23,1996,2.3%,-3.0%,1.0%,-0.7%,2.0%,1.3%,-0.3%,2.3%,2.8%,2.7%,3.5%,1.3%,16.1%
24,1997,2.9%,1.4%,-3.9%,3.0%,4.1%,2.7%,5.1%,-2.5%,2.1%,-0.2%,2.2%,1.9%,20.4%
25,1998,1.2%,1.2%,1.9%,-0.3%,0.0%,1.9%,-2.3%,-2.8%,3.8%,1.3%,2.2%,1.9%,10.2%
26,1999,1.6%,-2.9%,1.2%,0.9%,-1.3%,1.3%,-0.5%,0.2%,-0.3%,1.2%,0.7%,1.7%,3.7%
27,2000,-1.3%,1.0%,1.4%,-1.0%,-0.2%,1.3%,-2.0%,1.3%,-1.4%,-0.8%,1.4%,3.0%,2.5%
28,2001,1.1%,1.7%,0.9%,1.2%,2.5%,1.2%,3.4%,-0.4%,1.2%,2.7%,-1.3%,2.0%,17.2%
29,2002,0.7%,0.9%,1.0%,3.4%,3.1%,0.1%,-2.3%,2.0%,-0.6%,-1.7%,1.1%,5.6%,14.0%
30,2003,1.0%,-0.6%,-0.1%,3.7%,4.2%,1.1%,-2.9%,1.8%,0.7%,4.0%,3.5%,4.4%,22.5%
31,2004,0.9%,2.0%,3.9%,-9.3%,1.9%,1.8%,-0.9%,3.9%,0.9%,0.9%,3.9%,1.9%,11.7%
32,2005,-1.8%,1.6%,-2.2%,1.8%,1.6%,2.3%,1.4%,0.9%,0.2%,-1.9%,3.2%,2.7%,9.9%
33,2006,5.9%,0.1%,3.1%,3.4%,-2.1%,-0.1%,2.1%,1.2%,-0.5%,3.0%,4.0%,0.1%,22.1%
34,2007,3.3%,0.3%,0.0%,1.7%,0.0%,-3.4%,-2.8%,0.4%,4.7%,3.0%,-1.5%,0.9%,6.5%
35,2008,0.9%,1.2%,-1.4%,-1.0%,-0.3%,1.2%,-0.2%,-2.5%,1.3%,-4.2%,3.6%,3.4%,1.6%
36,2009,-3.7%,-0.4%,1.0%,-1.7%,-1.0%,-1.4%,1.3%,0.8%,1.9%,0.1%,5.9%,1.2%,3.8%
37,2010,-3.5%,2.8%,4.6%,3.0%,-3.7%,-1.8%,4.1%,-0.3%,5.5%,3.6%,-0.3%,4.1%,18.9%
38,2011,0.2%,3.9%,-0.0%,4.8%,-0.6%,-1.9%,1.9%,-0.4%,-8.6%,8.3%,-1.4%,-0.3%,5.1%
39,2012,3.2%,0.6%,0.7%,2.0%,-0.2%,1.2%,2.6%,0.7%,0.8%,-1.5%,-0.6%,-0.5%,9.2%
40,2013,3.3%,0.2%,2.5%,2.3%,-6.4%,-1.6%,2.2%,-2.8%,1.8%,2.5%,-0.5%,0.8%,3.9%
41,2014,0.3%,3.0%,0.3%,1.1%,1.5%,0.8%,-2.4%,3.7%,-2.8%,4.1%,2.2%,1.2%,13.3%
42,2015,4.4%,-1.4%,0.4%,-2.4%,-0.6%,-3.2%,3.4%,-3.5%,-0.2%,1.5%,-0.3%,-0.1%,-2.5%
43,2016,-2.1%,-0.0%,-0.1%,1.2%,-0.7%,4.3%,2.8%,-1.7%,-1.0%,-2.9%,-1.7%,0.7%,-1.6%
44,2017,2.4%,3.6%,0.6%,1.8%,0.2%,0.2%,1.0%,0.3%,0.3%,-0.3%,0.2%,1.4%,12.3%
45,2018,0.0%,-3.2%,-0.1%,-0.3%,0.5%,,,,,,,,-3.0%
