,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1971,2.4%,1.0%,1.6%,1.4%,3.4%,5.8%,-2.1%,-0.8%,0.9%,0.0%,-2.6%,5.4%,17.3%
1,1972,2.5%,3.3%,1.3%,1.4%,2.9%,0.3%,3.3%,-0.3%,0.9%,1.6%,6.4%,4.0%,31.0%
2,1973,2.2%,9.4%,-0.4%,-3.5%,1.1%,0.8%,1.6%,-0.6%,-0.8%,0.8%,-0.2%,-1.1%,9.2%
3,1974,0.9%,0.7%,-0.7%,0.7%,0.7%,0.6%,0.7%,0.8%,0.6%,0.7%,0.6%,0.5%,7.0%
4,1975,-0.4%,3.0%,-0.1%,1.3%,0.2%,1.2%,-0.5%,-0.5%,-0.2%,-0.2%,0.0%,0.1%,4.0%
5,1976,2.2%,0.1%,0.7%,0.3%,-1.5%,2.0%,-0.3%,1.3%,1.3%,0.5%,2.8%,2.0%,11.7%
6,1977,-3.4%,1.1%,0.1%,0.9%,0.3%,2.4%,-0.2%,1.4%,0.7%,0.6%,0.3%,2.1%,6.4%
7,1978,1.0%,3.5%,5.5%,0.9%,2.0%,4.1%,5.2%,2.7%,0.5%,-1.0%,-5.9%,1.7%,21.5%
8,1979,0.5%,-0.9%,1.3%,0.5%,0.2%,0.7%,0.4%,2.1%,1.3%,-0.7%,1.7%,2.1%,9.4%
9,1980,3.2%,0.8%,-2.1%,2.0%,2.7%,2.4%,0.9%,1.6%,0.6%,2.2%,0.6%,-1.1%,14.5%
10,1981,0.5%,0.4%,2.2%,2.9%,0.3%,0.6%,-2.9%,-0.3%,-1.5%,1.2%,0.8%,-0.4%,3.8%
11,1982,1.0%,1.0%,0.9%,1.6%,1.3%,1.1%,0.9%,2.5%,2.3%,2.7%,0.5%,1.7%,18.9%
12,1983,0.1%,2.3%,1.4%,3.7%,0.9%,0.9%,-1.4%,-1.1%,1.4%,-0.1%,0.9%,2.0%,11.2%
13,1984,4.7%,-0.1%,7.2%,0.1%,-3.0%,-1.0%,0.8%,0.9%,0.6%,3.2%,1.4%,0.9%,16.7%
14,1985,1.6%,-0.9%,0.6%,1.1%,4.2%,1.6%,-0.3%,2.5%,5.1%,4.6%,2.8%,1.4%,27.0%
15,1986,1.6%,8.2%,7.4%,2.3%,-0.5%,1.8%,1.5%,2.7%,0.1%,-2.1%,1.5%,1.6%,29.1%
16,1987,3.5%,1.2%,2.1%,2.2%,-0.0%,-0.6%,1.6%,5.0%,-5.0%,-6.5%,1.1%,0.6%,4.6%
17,1988,1.8%,2.3%,0.9%,0.2%,-0.3%,0.9%,0.2%,-1.2%,0.6%,1.0%,0.8%,0.9%,8.5%
18,1989,0.7%,0.8%,2.2%,6.4%,0.8%,-2.0%,2.3%,-1.5%,1.0%,0.2%,0.0%,1.2%,12.5%
19,1990,-1.4%,1.2%,-2.2%,-0.2%,2.0%,0.6%,1.7%,-2.9%,0.6%,0.7%,0.5%,1.5%,1.9%
20,1991,0.9%,1.2%,1.0%,0.3%,0.5%,-0.9%,1.4%,0.9%,2.4%,1.4%,0.3%,5.9%,16.2%
21,1992,0.1%,1.7%,0.4%,-0.2%,1.1%,-1.5%,3.1%,0.9%,1.8%,-2.3%,0.0%,1.0%,6.2%
22,1993,1.9%,1.4%,0.9%,1.8%,1.6%,1.3%,1.9%,4.0%,0.5%,2.7%,-1.9%,5.2%,23.2%
23,1994,1.1%,-1.5%,-4.4%,2.1%,0.2%,0.4%,0.2%,2.2%,0.6%,0.2%,-0.7%,-1.0%,-0.9%
24,1995,-0.6%,1.3%,1.5%,2.3%,3.7%,2.4%,1.7%,0.7%,1.5%,1.1%,1.3%,0.5%,18.8%
25,1996,1.7%,-0.4%,0.4%,3.5%,0.9%,0.0%,-4.6%,1.0%,4.8%,1.5%,4.8%,-0.6%,13.4%
26,1997,3.5%,-1.3%,-2.2%,1.6%,2.8%,1.8%,2.9%,-3.5%,1.2%,-0.4%,1.0%,1.1%,8.6%
27,1998,1.4%,0.0%,1.6%,0.6%,-0.6%,1.7%,0.4%,-2.9%,4.7%,-0.5%,0.3%,2.8%,9.8%
28,1999,1.8%,-2.6%,1.5%,0.7%,-0.1%,1.8%,-0.0%,0.5%,0.1%,2.1%,2.1%,4.5%,12.9%
29,2000,-0.4%,2.4%,0.9%,-2.2%,-1.3%,2.0%,0.1%,2.7%,-0.8%,0.9%,2.5%,2.4%,9.2%
30,2001,0.8%,1.3%,0.6%,-1.7%,0.2%,0.5%,2.9%,1.2%,2.5%,2.5%,-2.7%,-1.5%,6.6%
31,2002,1.1%,1.2%,-0.8%,0.7%,0.1%,-1.1%,2.2%,2.4%,2.3%,-0.4%,-1.2%,2.9%,9.8%
32,2003,-0.8%,1.8%,-0.2%,0.7%,3.7%,-0.7%,-1.9%,2.2%,1.5%,2.6%,0.0%,3.5%,13.1%
33,2004,0.9%,0.6%,0.5%,-4.6%,-0.3%,2.0%,-2.9%,1.7%,0.8%,1.1%,1.0%,1.9%,2.4%
34,2005,-0.6%,2.8%,-2.5%,-0.5%,1.9%,1.3%,0.2%,1.0%,1.8%,-2.2%,1.5%,3.0%,7.9%
35,2006,2.3%,-0.7%,1.6%,1.7%,-3.0%,-0.2%,0.3%,1.0%,0.7%,2.2%,2.2%,1.3%,9.8%
36,2007,0.9%,-0.5%,0.5%,2.2%,1.7%,-0.3%,-0.5%,1.3%,5.7%,5.6%,-1.8%,-0.3%,15.1%
37,2008,-1.7%,1.3%,1.2%,-2.5%,-0.6%,-2.5%,0.3%,1.5%,-0.9%,-0.7%,6.1%,2.9%,4.2%
38,2009,-2.0%,-0.3%,1.6%,-1.3%,-0.8%,-0.3%,1.3%,-0.1%,1.0%,-0.5%,1.4%,1.1%,0.9%
39,2010,-1.7%,1.0%,1.4%,1.0%,-2.9%,0.6%,1.7%,1.6%,0.8%,1.2%,-0.8%,-0.4%,3.6%
40,2011,0.5%,1.5%,-2.9%,2.0%,1.0%,-0.9%,1.0%,2.2%,0.8%,0.5%,-0.1%,1.8%,7.7%
41,2012,0.9%,-0.7%,0.8%,1.1%,-1.2%,-0.1%,1.3%,0.2%,0.4%,-1.9%,0.9%,1.1%,2.8%
42,2013,0.4%,0.5%,2.3%,3.3%,-3.0%,-1.8%,2.6%,-1.5%,3.6%,1.8%,1.9%,1.6%,11.9%
43,2014,-2.5%,2.7%,-0.5%,0.1%,1.7%,1.1%,-0.5%,2.8%,-1.6%,2.0%,2.0%,-0.6%,6.8%
44,2015,0.8%,-2.6%,-0.5%,0.8%,0.9%,-1.9%,1.8%,-4.0%,1.3%,-0.6%,-0.1%,-0.9%,-5.0%
45,2016,-0.9%,1.4%,-0.1%,-0.3%,0.4%,1.9%,0.2%,-0.5%,0.9%,-0.8%,-2.0%,1.0%,1.1%
46,2017,1.5%,2.5%,0.5%,1.5%,2.4%,-0.3%,2.7%,1.0%,0.8%,3.1%,1.7%,1.6%,20.7%
47,2018,6.9%,-4.2%,-1.6%,-0.7%,1.9%,,,,,,,,1.9%
