,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1970,0.7%,0.5%,0.6%,0.5%,-4.3%,0.6%,0.6%,0.4%,2.2%,2.0%,3.1%,3.5%,10.6%
1,1971,2.4%,1.5%,2.5%,1.3%,-1.3%,-0.7%,-0.1%,3.4%,0.5%,-0.2%,1.1%,-0.0%,10.7%
2,1972,2.7%,2.7%,0.5%,0.4%,5.0%,4.3%,2.2%,2.4%,-1.2%,0.5%,1.7%,0.4%,23.6%
3,1973,-3.2%,3.1%,6.9%,1.6%,12.6%,17.8%,0.0%,-11.2%,-3.6%,-2.8%,-5.5%,0.7%,13.9%
4,1974,-1.6%,8.5%,4.7%,2.2%,-5.2%,-5.6%,-7.2%,8.1%,-1.9%,4.6%,14.3%,1.3%,21.6%
5,1975,-1.7%,2.9%,-0.7%,-1.5%,2.3%,2.3%,-3.6%,-2.3%,-1.7%,6.6%,2.7%,0.2%,5.1%
6,1976,7.7%,-0.2%,2.4%,0.5%,-1.8%,3.1%,0.2%,0.7%,2.4%,-0.2%,0.4%,4.5%,21.2%
7,1977,-2.7%,1.0%,1.3%,-0.3%,-0.8%,1.3%,-0.1%,1.7%,2.6%,1.9%,-0.1%,0.7%,6.3%
8,1978,2.7%,3.7%,-0.4%,-6.0%,7.6%,-1.0%,7.6%,3.6%,1.8%,0.3%,-5.6%,5.8%,20.8%
9,1979,3.2%,0.9%,0.9%,0.4%,4.8%,2.9%,2.4%,3.9%,8.5%,-6.1%,6.7%,12.6%,48.2%
10,1980,16.7%,-1.0%,-16.1%,4.5%,4.4%,12.3%,-1.9%,0.3%,1.9%,-2.4%,4.7%,-5.4%,15.2%
11,1981,-9.4%,2.1%,3.7%,-2.2%,0.6%,-0.9%,-0.1%,1.3%,1.2%,1.2%,0.8%,-4.2%,-6.3%
12,1982,-0.7%,1.7%,2.2%,3.2%,1.1%,-2.6%,4.7%,8.3%,6.7%,8.5%,3.6%,2.8%,46.7%
13,1983,2.9%,-3.5%,1.4%,4.9%,-2.6%,2.1%,-4.5%,1.8%,1.2%,-1.4%,2.3%,-4.1%,0.0%
14,1984,-0.7%,-1.9%,-1.9%,-1.6%,0.9%,0.8%,0.8%,0.9%,2.7%,3.3%,0.2%,0.7%,4.1%
15,1985,5.7%,-1.7%,1.6%,1.0%,7.5%,1.7%,-0.8%,1.3%,-1.7%,2.5%,3.9%,1.6%,24.7%
16,1986,2.6%,5.5%,5.9%,-0.2%,0.7%,3.0%,-1.4%,6.2%,-0.8%,0.3%,0.4%,-3.0%,20.4%
17,1987,5.7%,2.0%,1.1%,0.1%,0.3%,2.1%,4.1%,0.9%,-0.5%,-9.9%,-1.7%,-1.8%,1.5%
18,1988,0.5%,-3.1%,-3.8%,-2.2%,-1.2%,5.1%,-1.6%,-1.7%,4.2%,3.0%,-2.1%,0.3%,-2.9%
19,1989,4.9%,-2.4%,1.7%,4.0%,4.0%,3.1%,5.6%,-0.3%,-0.0%,1.0%,1.4%,0.1%,25.2%
20,1990,-2.6%,-0.2%,-2.6%,-0.3%,0.6%,-0.7%,-0.5%,-7.1%,-2.0%,-2.3%,1.3%,0.8%,-14.8%
21,1991,-1.7%,2.3%,1.3%,0.7%,2.1%,-2.8%,3.0%,3.2%,0.9%,0.5%,-1.9%,9.1%,17.4%
22,1992,-1.8%,0.8%,-1.5%,1.2%,1.8%,-0.1%,4.3%,-0.5%,1.1%,-1.6%,2.2%,2.4%,8.4%
23,1993,1.5%,2.8%,1.2%,-1.1%,1.4%,1.9%,3.1%,0.7%,-1.4%,2.5%,-1.6%,0.5%,11.8%
24,1994,1.1%,-2.7%,-2.3%,-1.3%,2.7%,-0.3%,-0.7%,0.6%,-0.3%,0.2%,-2.4%,0.5%,-5.1%
25,1995,3.4%,4.0%,1.8%,2.3%,4.2%,1.0%,0.1%,1.2%,3.5%,1.2%,3.7%,1.5%,31.3%
26,1996,2.6%,-2.2%,-0.5%,-0.7%,1.0%,-1.0%,-4.5%,1.9%,5.6%,3.1%,5.9%,-2.8%,8.2%
27,1997,2.3%,0.8%,-3.9%,4.4%,3.6%,4.0%,7.6%,-4.3%,4.0%,0.8%,2.9%,2.0%,26.2%
28,1998,1.7%,2.9%,2.5%,0.8%,0.2%,3.7%,-1.2%,-3.7%,5.7%,-2.1%,1.4%,3.4%,16.2%
29,1999,2.3%,-4.3%,1.8%,1.8%,-2.3%,5.5%,-3.1%,-0.5%,-2.2%,6.3%,-0.6%,2.4%,6.7%
30,2000,-3.3%,0.8%,2.5%,-2.3%,-1.0%,2.1%,0.2%,4.5%,-3.6%,0.6%,-2.2%,2.3%,0.3%
31,2001,-0.0%,1.8%,-0.8%,-3.2%,0.2%,0.9%,0.2%,2.6%,3.6%,0.7%,-3.7%,-0.2%,1.7%
