,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,0.8%,0.6%,-0.3%,-0.5%,4.1%,0.5%,4.6%,-0.1%,-0.6%,-0.3%,-3.8%,2.3%,7.2%
1,1974,2.6%,0.3%,-3.0%,0.8%,-0.8%,0.6%,5.3%,-0.4%,2.9%,2.3%,1.1%,-0.9%,11.1%
2,1975,-2.9%,4.6%,0.3%,2.3%,0.7%,1.7%,-2.5%,-0.5%,-2.9%,-0.0%,0.6%,0.4%,1.6%
3,1976,3.7%,0.9%,0.8%,0.3%,-1.3%,1.9%,-1.6%,1.3%,1.2%,0.3%,1.4%,3.0%,12.3%
4,1977,-0.6%,0.3%,0.5%,2.0%,-0.4%,1.2%,-2.5%,1.4%,0.8%,0.5%,1.1%,2.0%,6.5%
5,1978,0.4%,1.0%,4.7%,1.1%,1.6%,-1.3%,4.2%,2.5%,1.5%,-2.4%,-1.0%,1.6%,14.5%
6,1979,3.3%,0.6%,2.9%,1.2%,-1.5%,3.6%,0.4%,6.3%,1.2%,-7.1%,3.4%,1.7%,16.6%
7,1980,5.0%,0.2%,-9.2%,1.0%,3.1%,3.4%,3.1%,1.1%,1.8%,4.1%,1.3%,-2.7%,11.9%
8,1981,-1.8%,0.8%,2.4%,0.8%,-0.3%,0.6%,0.0%,0.3%,1.2%,1.2%,2.5%,-2.0%,5.7%
9,1982,0.2%,-1.0%,1.0%,1.9%,0.8%,-1.5%,2.0%,1.5%,2.1%,5.9%,1.9%,2.6%,18.8%
10,1983,1.1%,1.5%,3.2%,4.7%,-0.4%,1.8%,-1.2%,0.5%,0.3%,-0.1%,1.7%,1.7%,15.7%
11,1984,2.3%,0.3%,2.7%,-0.3%,-1.5%,-0.2%,-1.2%,1.7%,1.9%,1.8%,0.9%,1.2%,9.9%
12,1985,3.7%,0.1%,2.5%,-0.2%,4.4%,1.5%,1.3%,0.7%,0.3%,4.8%,3.1%,1.6%,26.4%
13,1986,-0.3%,5.7%,6.5%,1.2%,-0.8%,3.9%,0.2%,4.9%,-3.1%,-0.3%,2.5%,-1.5%,19.9%
14,1987,4.6%,1.0%,3.5%,1.8%,1.0%,1.7%,1.9%,1.5%,-0.7%,-6.8%,0.3%,-0.2%,9.7%
15,1988,1.7%,0.3%,2.0%,0.9%,-0.4%,0.3%,0.6%,-2.3%,1.1%,2.7%,1.2%,1.7%,10.2%
16,1989,2.6%,0.0%,1.5%,2.9%,0.1%,1.9%,2.2%,-0.0%,1.6%,-1.1%,1.9%,2.1%,16.6%
17,1990,-3.8%,-1.1%,-0.1%,-0.4%,-0.3%,0.6%,0.5%,0.6%,3.4%,-0.7%,-0.4%,0.5%,-1.3%
18,1991,-1.0%,2.1%,1.2%,1.0%,1.5%,-3.0%,1.7%,0.7%,0.6%,1.1%,-2.5%,1.8%,5.1%
19,1992,-0.5%,-0.8%,-0.8%,0.7%,1.6%,-0.3%,2.1%,-0.0%,0.7%,-0.4%,1.1%,1.3%,4.7%
20,1993,1.9%,2.0%,4.0%,0.6%,0.6%,1.1%,1.0%,3.1%,0.6%,0.8%,-3.6%,0.5%,13.2%
21,1994,2.8%,-0.4%,-2.3%,1.3%,0.5%,0.2%,0.5%,1.0%,-0.8%,1.1%,-1.5%,0.3%,2.7%
22,1995,1.4%,1.2%,1.1%,2.3%,2.5%,-0.1%,2.1%,0.1%,2.1%,-0.5%,2.4%,3.7%,19.7%
23,1996,0.5%,0.9%,1.9%,2.1%,0.3%,1.2%,-1.5%,2.7%,2.4%,1.4%,4.2%,1.7%,19.2%
24,1997,0.2%,-0.8%,-0.9%,1.0%,3.4%,3.2%,3.3%,-2.8%,4.3%,-2.1%,1.4%,1.2%,11.8%
25,1998,0.7%,2.3%,2.1%,-0.1%,-0.2%,1.4%,0.1%,-4.5%,1.2%,0.1%,1.2%,2.4%,6.7%
26,1999,0.9%,-1.7%,1.9%,2.6%,-2.3%,3.3%,-0.3%,0.5%,0.8%,0.4%,1.4%,4.1%,12.0%
27,2000,-0.8%,1.4%,2.1%,-1.0%,1.0%,2.7%,-0.8%,2.9%,-0.0%,-0.9%,1.2%,1.0%,9.1%
28,2001,0.6%,0.0%,0.5%,0.3%,0.3%,1.4%,0.4%,1.1%,-1.3%,0.0%,-0.4%,0.3%,3.4%
29,2002,0.2%,0.7%,0.6%,-0.7%,0.4%,1.0%,-2.3%,1.7%,-0.2%,-0.6%,-0.4%,1.4%,1.7%
30,2003,1.5%,1.2%,-1.7%,-1.0%,4.3%,1.3%,1.1%,2.1%,0.5%,3.0%,2.2%,4.9%,21.0%
31,2004,2.2%,2.9%,1.7%,-4.5%,1.3%,1.3%,-0.2%,2.5%,2.3%,3.5%,2.0%,1.7%,17.8%
32,2005,-1.5%,3.0%,-0.3%,-0.7%,1.5%,2.8%,3.4%,1.2%,0.7%,-3.3%,2.0%,2.1%,11.2%
33,2006,4.7%,-0.4%,2.7%,2.0%,-1.9%,0.9%,1.5%,1.3%,0.4%,2.8%,2.3%,-0.2%,17.2%
34,2007,1.8%,-0.5%,0.5%,1.9%,0.7%,-2.1%,-0.6%,0.3%,3.8%,3.1%,-0.8%,0.5%,8.8%
35,2008,1.4%,2.6%,0.1%,0.8%,1.0%,0.2%,-1.7%,-0.9%,-2.1%,-6.5%,1.6%,1.0%,-2.8%
36,2009,-0.8%,-0.1%,0.7%,-0.5%,-0.4%,-0.3%,3.5%,3.7%,2.7%,-0.4%,4.6%,1.1%,14.3%
37,2010,-4.4%,1.8%,4.2%,1.9%,-6.4%,-1.5%,2.1%,-1.3%,0.8%,3.4%,-1.6%,5.2%,3.6%
38,2011,2.2%,3.2%,-0.3%,3.8%,-1.4%,-2.2%,1.0%,-3.2%,-2.5%,-0.3%,-0.7%,0.4%,-0.2%
39,2012,1.4%,0.4%,1.1%,0.3%,-6.0%,1.8%,0.9%,0.4%,0.5%,-1.2%,0.8%,1.4%,1.6%
40,2013,2.7%,-0.7%,1.6%,3.0%,-2.0%,-1.2%,2.3%,-2.4%,2.2%,1.6%,-0.4%,1.0%,7.7%
41,2014,-1.8%,3.2%,0.1%,1.5%,1.3%,1.2%,-1.8%,1.8%,-2.5%,2.8%,1.2%,0.4%,7.4%
42,2015,1.6%,-0.1%,-0.1%,-0.4%,0.1%,-1.4%,0.8%,-2.7%,-0.0%,-0.2%,-0.1%,-0.1%,-2.6%
43,2016,-1.7%,0.2%,2.1%,-0.4%,0.9%,2.4%,0.2%,-0.7%,0.8%,-2.3%,0.7%,1.2%,3.4%
44,2017,0.9%,1.0%,-0.5%,0.1%,1.0%,0.1%,1.3%,0.3%,0.6%,1.3%,1.4%,1.1%,9.0%
45,2018,1.9%,-2.2%,-0.2%,1.1%,1.5%,,,,,,,,2.0%
