,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1972,2.0%,2.3%,1.0%,2.0%,-0.1%,1.2%,2.3%,1.6%,1.4%,-0.0%,3.2%,2.4%,21.1%
1,1973,0.9%,0.7%,0.0%,-1.5%,3.5%,0.4%,6.9%,-1.4%,0.6%,-0.6%,-5.6%,2.5%,6.2%
2,1974,3.1%,1.4%,-4.2%,-1.4%,-3.9%,1.5%,1.0%,-6.2%,0.3%,6.4%,-0.3%,-2.8%,-5.9%
3,1975,5.7%,3.3%,1.5%,1.9%,0.8%,1.9%,-2.0%,0.7%,-3.1%,2.3%,1.1%,0.9%,15.8%
4,1976,5.3%,1.9%,0.7%,0.9%,-1.3%,2.0%,-1.4%,0.7%,-1.0%,-1.2%,1.8%,5.9%,15.1%
5,1977,-0.7%,0.2%,0.9%,2.0%,-0.9%,2.1%,-2.4%,1.1%,1.3%,0.2%,2.3%,2.1%,8.5%
6,1978,-0.8%,0.4%,5.1%,2.6%,1.5%,-1.8%,4.4%,2.7%,1.7%,-2.0%,-0.5%,1.6%,15.7%
7,1979,3.6%,0.7%,2.9%,1.3%,-1.6%,3.8%,0.4%,6.6%,1.0%,-7.1%,4.0%,2.3%,18.6%
8,1980,4.1%,-1.4%,-9.4%,5.8%,5.0%,4.6%,3.0%,1.2%,1.8%,3.6%,1.0%,-2.7%,16.7%
9,1981,-2.1%,-0.9%,2.5%,-0.7%,0.1%,-0.9%,-0.8%,-2.6%,-4.7%,4.0%,4.9%,-3.2%,-4.7%
10,1982,1.1%,-2.8%,-0.5%,3.9%,-0.4%,-3.7%,1.0%,4.2%,2.0%,5.8%,3.7%,2.4%,17.6%
11,1983,1.1%,1.4%,4.4%,4.8%,-0.4%,1.8%,-1.2%,0.3%,0.9%,-0.0%,1.7%,1.7%,17.7%
12,1984,2.1%,-0.5%,2.9%,-0.3%,-3.9%,0.2%,-2.2%,5.9%,1.6%,2.1%,0.8%,0.7%,9.3%
13,1985,3.8%,-0.2%,3.1%,-0.1%,4.3%,0.9%,0.8%,0.8%,1.3%,4.8%,3.2%,1.7%,27.1%
14,1986,-0.3%,5.0%,6.7%,2.2%,-1.7%,4.6%,0.5%,6.6%,-3.0%,0.1%,2.6%,-1.1%,23.9%
15,1987,7.2%,1.0%,3.5%,2.1%,0.8%,1.8%,1.7%,1.4%,-1.4%,-9.9%,-1.0%,2.4%,9.0%
