,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,3.0%,8.7%,-1.9%,-5.7%,6.1%,-0.2%,9.0%,1.3%,-1.3%,-1.4%,2.1%,0.2%,20.6%
1,1974,4.1%,0.2%,-3.4%,-1.3%,-6.1%,0.6%,0.6%,-1.1%,4.4%,3.4%,1.3%,-2.4%,-0.1%
2,1975,-4.3%,6.6%,-0.8%,3.4%,0.8%,2.3%,-0.1%,-2.3%,1.8%,-3.6%,-0.3%,0.5%,3.6%
3,1976,2.3%,-0.4%,-0.1%,0.5%,-0.8%,-0.1%,-3.9%,1.5%,0.9%,0.1%,2.0%,2.9%,4.7%
4,1977,1.4%,0.5%,0.3%,2.4%,-0.1%,1.8%,0.7%,1.5%,2.3%,0.9%,2.0%,4.0%,19.2%
5,1978,2.4%,3.8%,6.3%,1.5%,3.8%,-1.8%,5.5%,2.9%,0.5%,-0.4%,-5.2%,0.0%,20.3%
6,1979,2.7%,2.8%,3.7%,2.0%,-2.1%,2.7%,0.6%,6.5%,-0.1%,-6.0%,4.0%,1.8%,19.6%
7,1980,4.1%,0.8%,-8.0%,1.7%,3.3%,2.7%,0.2%,2.8%,0.8%,5.0%,2.4%,-4.4%,11.3%
8,1981,-1.7%,1.0%,1.2%,1.1%,-0.2%,0.9%,0.6%,-2.9%,1.2%,1.2%,0.8%,-0.6%,2.6%
9,1982,0.9%,-1.2%,1.2%,1.0%,0.9%,0.2%,2.4%,2.3%,1.8%,2.2%,2.0%,0.9%,15.4%
10,1983,1.0%,1.5%,5.5%,5.2%,-0.6%,2.2%,-0.9%,-1.4%,-1.0%,-0.3%,0.7%,0.5%,12.9%
11,1984,6.1%,-0.3%,1.8%,-0.6%,-4.1%,-0.5%,-2.6%,1.2%,1.0%,2.4%,1.5%,1.4%,7.1%
12,1985,2.6%,0.4%,0.7%,0.1%,3.2%,1.9%,2.6%,1.7%,5.3%,5.6%,2.5%,0.3%,30.1%
13,1986,1.2%,5.7%,7.9%,2.2%,-2.2%,2.1%,-1.7%,6.2%,-4.0%,-1.2%,2.6%,-1.9%,17.5%
14,1987,4.1%,2.5%,3.7%,3.0%,0.5%,5.0%,4.1%,5.7%,-9.0%,-11.7%,0.2%,0.5%,7.1%
15,1988,1.5%,0.6%,1.8%,2.5%,-0.6%,1.3%,-0.8%,-2.5%,1.1%,1.3%,1.7%,2.8%,11.1%
16,1989,0.1%,0.5%,4.5%,9.0%,0.9%,1.8%,3.0%,0.3%,-0.4%,-2.2%,-0.5%,4.3%,23.1%
17,1990,0.9%,1.7%,-4.1%,2.8%,0.6%,1.1%,0.5%,-10.6%,0.7%,-2.1%,-2.0%,0.0%,-10.7%
18,1991,0.7%,1.0%,3.8%,1.5%,4.3%,-2.2%,1.3%,1.2%,-0.5%,0.6%,-1.2%,1.1%,12.2%
19,1992,4.7%,0.7%,1.0%,1.0%,0.6%,-3.3%,0.8%,0.5%,1.1%,-0.3%,1.8%,1.7%,10.6%
20,1993,2.3%,2.6%,3.6%,-0.6%,0.8%,1.0%,2.2%,5.0%,0.5%,2.4%,-3.4%,6.0%,24.7%
21,1994,0.2%,-2.4%,-6.1%,2.0%,2.0%,-0.3%,0.9%,3.0%,0.7%,0.5%,-2.7%,-2.3%,-4.7%
22,1995,1.5%,1.3%,1.3%,1.6%,2.7%,0.1%,2.0%,0.9%,2.3%,-0.5%,1.1%,2.5%,18.1%
23,1996,0.1%,-1.7%,3.8%,3.4%,-0.5%,1.7%,-1.8%,1.4%,1.3%,1.2%,2.8%,2.4%,14.9%
24,1997,2.5%,2.2%,-2.6%,0.4%,3.0%,4.5%,4.2%,-4.2%,5.0%,-0.3%,-0.6%,1.3%,15.9%
25,1998,0.3%,2.4%,2.2%,0.6%,0.3%,0.6%,-0.3%,0.8%,1.0%,0.1%,0.4%,2.3%,11.2%
26,1999,0.5%,-0.9%,5.9%,6.6%,-3.4%,6.2%,-1.7%,0.8%,0.5%,0.5%,1.7%,4.7%,22.8%
27,2000,-1.9%,2.3%,-0.9%,-4.1%,3.0%,3.7%,-0.2%,2.4%,-0.4%,-2.1%,1.1%,0.9%,3.6%
28,2001,1.0%,-0.1%,0.6%,0.7%,-0.3%,2.1%,-0.5%,1.7%,-1.0%,0.8%,-0.4%,0.1%,4.8%
29,2002,1.2%,0.6%,4.0%,0.2%,-0.7%,0.3%,-1.4%,0.6%,0.1%,-0.9%,0.0%,-1.2%,2.7%
30,2003,0.0%,0.6%,-2.2%,-1.5%,4.4%,1.0%,2.9%,3.9%,0.9%,5.8%,2.3%,7.1%,27.7%
31,2004,2.6%,2.2%,3.0%,-5.4%,2.4%,1.2%,-0.6%,0.1%,3.3%,4.2%,0.1%,1.4%,15.3%
32,2005,-3.7%,5.2%,-4.2%,-2.4%,0.3%,4.2%,4.1%,-0.6%,3.9%,-5.4%,2.7%,0.1%,3.4%
33,2006,5.5%,0.5%,1.7%,0.5%,-6.0%,-0.0%,2.2%,0.1%,1.1%,3.3%,2.6%,-0.4%,11.2%
34,2007,0.4%,-2.0%,2.0%,2.6%,2.4%,1.6%,1.0%,-0.2%,4.0%,4.1%,-2.2%,2.3%,17.0%
35,2008,1.8%,3.7%,-0.2%,2.1%,1.9%,-0.0%,-3.2%,-2.1%,0.1%,0.1%,0.0%,-0.0%,3.8%
36,2009,-0.7%,-0.3%,0.3%,5.3%,5.2%,-2.1%,7.0%,5.8%,6.8%,-2.7%,6.2%,3.7%,39.8%
37,2010,-7.1%,3.3%,3.3%,2.8%,-2.3%,-1.1%,3.5%,-0.0%,-0.1%,4.1%,-1.8%,7.0%,11.2%
38,2011,1.9%,4.1%,0.3%,2.5%,-1.7%,-2.9%,0.2%,-1.4%,0.3%,0.0%,-0.1%,0.4%,3.4%
39,2012,1.7%,1.3%,1.7%,1.0%,-3.6%,1.8%,1.1%,-0.0%,-0.7%,-1.1%,2.0%,3.6%,9.1%
40,2013,0.9%,-0.9%,2.2%,2.9%,-1.9%,-1.1%,3.7%,-1.0%,-0.1%,2.5%,-0.3%,1.6%,8.5%
41,2014,-3.0%,1.6%,0.4%,1.5%,0.6%,1.1%,-0.0%,2.3%,-4.7%,1.1%,1.8%,0.5%,3.1%
42,2015,1.2%,1.5%,0.1%,-2.1%,-0.1%,-1.8%,-0.1%,-4.6%,0.0%,-0.1%,-0.3%,0.6%,-5.6%
43,2016,-0.7%,0.1%,0.3%,-0.8%,0.2%,3.9%,0.3%,-1.0%,0.2%,-2.8%,-0.3%,2.1%,1.4%
44,2017,0.4%,1.2%,-2.0%,1.6%,2.4%,0.3%,3.4%,0.1%,0.7%,1.5%,0.7%,1.8%,12.7%
45,2018,4.5%,-2.2%,-0.8%,0.2%,1.4%,,,,,,,,3.0%
