,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,2.2%,5.4%,-0.7%,0.1%,3.2%,0.4%,2.3%,-0.6%,-0.1%,0.7%,-0.1%,1.0%,14.5%
1,1974,1.4%,0.4%,-1.6%,0.7%,0.2%,0.6%,2.4%,0.4%,1.4%,1.2%,1.5%,0.7%,9.6%
2,1975,0.1%,3.5%,-0.9%,0.3%,0.7%,1.8%,-1.3%,-0.7%,-0.8%,-0.9%,-0.5%,0.7%,1.8%
3,1976,1.8%,1.3%,0.5%,-0.2%,-0.9%,1.6%,-0.9%,1.0%,0.5%,-0.7%,1.3%,2.6%,8.1%
4,1977,-0.2%,0.6%,1.2%,1.8%,0.0%,1.8%,-0.6%,1.5%,1.3%,0.6%,1.4%,2.6%,12.7%
5,1978,0.8%,3.1%,3.0%,1.2%,0.8%,0.6%,2.8%,2.3%,0.6%,-0.8%,-2.6%,0.8%,13.0%
6,1979,1.8%,0.8%,2.1%,1.6%,-0.7%,2.6%,0.7%,5.8%,1.4%,-5.5%,2.7%,1.8%,15.7%
7,1980,4.4%,0.9%,-5.2%,2.0%,3.8%,4.1%,1.8%,1.9%,0.4%,4.2%,-0.7%,-2.1%,15.9%
8,1981,-1.1%,0.7%,0.3%,1.0%,-0.3%,1.0%,-1.4%,0.4%,1.2%,1.2%,2.1%,0.0%,5.2%
9,1982,0.7%,1.0%,1.2%,1.9%,0.8%,-0.6%,1.9%,1.5%,0.8%,5.1%,2.0%,1.9%,19.7%
10,1983,0.9%,1.1%,2.5%,4.1%,-0.4%,1.5%,-0.1%,-0.2%,-0.8%,0.3%,1.5%,2.5%,13.4%
11,1984,3.5%,0.3%,1.8%,-0.1%,-1.0%,-0.9%,-1.8%,1.0%,2.2%,1.9%,1.2%,1.4%,9.7%
12,1985,2.0%,-0.1%,1.9%,0.0%,3.0%,2.3%,2.0%,0.9%,1.4%,4.0%,2.1%,0.0%,21.1%
13,1986,-0.1%,5.4%,6.3%,2.2%,-1.4%,3.2%,-0.7%,2.4%,-1.9%,-0.5%,1.3%,-0.5%,16.4%
14,1987,2.4%,0.8%,3.7%,0.9%,0.8%,3.7%,1.7%,1.5%,-3.1%,-2.4%,0.8%,0.3%,11.4%
15,1988,1.7%,0.3%,2.5%,1.1%,0.5%,-0.1%,-0.0%,-1.0%,0.4%,1.2%,1.8%,2.0%,10.8%
16,1989,0.8%,1.3%,2.4%,3.9%,0.4%,0.7%,2.9%,0.2%,1.7%,-0.7%,0.6%,2.6%,18.1%
17,1990,-1.2%,-0.2%,-1.1%,0.7%,0.2%,1.1%,1.9%,0.7%,2.0%,0.7%,0.2%,0.6%,5.7%
18,1991,-0.4%,1.2%,0.8%,1.0%,1.8%,-1.8%,1.8%,1.4%,1.5%,1.2%,-1.1%,3.1%,11.1%
19,1992,0.8%,0.1%,-0.3%,0.2%,1.0%,-1.2%,1.7%,0.7%,0.8%,-0.7%,0.4%,1.0%,4.5%
20,1993,1.9%,1.9%,3.1%,0.1%,0.7%,1.2%,0.6%,3.2%,1.3%,1.8%,-0.7%,2.9%,19.3%
21,1994,0.6%,-1.5%,-2.3%,1.4%,-0.0%,0.3%,0.8%,0.4%,1.1%,0.9%,-1.4%,-0.5%,-0.2%
22,1995,1.3%,0.8%,2.4%,2.2%,1.6%,-0.6%,1.5%,-1.1%,1.9%,-0.2%,2.0%,3.1%,15.6%
23,1996,0.7%,0.6%,2.2%,2.3%,-0.1%,1.0%,-2.3%,2.5%,2.1%,1.2%,3.2%,0.5%,14.8%
24,1997,-1.4%,0.3%,-1.4%,0.2%,1.9%,2.0%,2.0%,-4.3%,1.4%,-1.8%,0.3%,0.4%,-0.5%
25,1998,0.8%,1.3%,0.6%,0.8%,0.3%,0.8%,0.4%,-0.5%,2.7%,0.5%,0.1%,1.4%,9.5%
