,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1970,0.7%,0.5%,0.5%,-1.2%,0.6%,0.6%,1.3%,0.4%,0.6%,-0.0%,4.3%,2.9%,11.3%
1,1971,3.5%,-0.2%,2.9%,-1.7%,-2.4%,-0.2%,0.6%,0.8%,0.9%,1.7%,-0.8%,0.7%,5.8%
2,1972,0.0%,1.0%,0.3%,-0.2%,0.8%,-1.5%,0.3%,0.1%,-0.1%,0.8%,2.2%,-0.6%,3.1%
3,1973,-3.3%,1.3%,0.4%,0.1%,0.2%,0.8%,0.5%,-0.1%,0.6%,1.1%,0.4%,-0.2%,1.7%
4,1974,2.1%,0.6%,-2.9%,0.4%,0.7%,0.7%,0.4%,0.8%,0.6%,0.7%,1.2%,1.5%,7.1%
5,1975,1.3%,2.5%,-1.2%,-0.1%,1.6%,0.3%,-1.1%,0.1%,0.2%,0.6%,-0.6%,3.8%,7.6%
6,1976,1.4%,0.9%,1.6%,0.9%,-1.7%,1.6%,1.1%,1.8%,1.9%,1.3%,2.0%,1.9%,15.7%
7,1977,-2.3%,-1.1%,1.0%,1.6%,0.8%,1.6%,0.7%,0.9%,0.3%,0.2%,0.6%,0.8%,5.2%
8,1978,0.7%,0.7%,0.7%,-0.1%,0.5%,0.7%,1.1%,0.9%,0.6%,1.0%,-1.1%,1.6%,7.6%
9,1979,0.2%,0.7%,0.8%,0.6%,0.8%,1.7%,0.5%,0.8%,-0.3%,-1.0%,1.0%,1.0%,6.9%
10,1980,1.1%,1.0%,1.3%,1.1%,2.7%,0.9%,-0.8%,-2.4%,-2.2%,-0.1%,0.3%,1.4%,4.2%
11,1981,1.3%,1.1%,1.2%,1.1%,1.3%,1.3%,1.3%,1.3%,1.2%,1.2%,0.8%,-1.8%,11.9%
12,1982,-0.7%,0.9%,0.4%,3.1%,1.5%,1.1%,0.8%,7.4%,5.0%,6.2%,2.1%,2.7%,34.8%
13,1983,-1.8%,4.1%,0.3%,4.2%,-1.3%,-0.6%,-2.0%,0.5%,1.3%,0.8%,0.7%,0.8%,7.0%
14,1984,0.6%,-1.3%,-0.6%,0.8%,0.9%,0.8%,0.8%,1.0%,0.7%,5.3%,1.9%,1.2%,12.7%
15,1985,3.3%,-3.5%,2.5%,2.3%,5.0%,1.2%,-1.1%,2.3%,0.6%,2.6%,3.8%,4.4%,25.6%
16,1986,-0.0%,8.4%,6.2%,0.3%,-3.3%,4.9%,-0.2%,2.8%,-2.7%,1.3%,0.4%,-0.3%,18.6%
17,1987,2.5%,1.3%,0.7%,-2.0%,-0.5%,0.2%,-0.2%,0.5%,0.5%,0.5%,0.5%,0.5%,4.5%
18,1988,0.4%,1.3%,-2.3%,-1.6%,-0.4%,1.9%,-0.7%,0.5%,0.7%,1.0%,-1.8%,0.6%,-0.6%
19,1989,1.2%,-1.5%,0.3%,0.3%,0.6%,4.7%,2.2%,-2.0%,0.4%,3.2%,0.9%,-0.0%,10.5%
20,1990,-2.8%,0.6%,0.7%,0.6%,0.7%,0.6%,0.6%,-2.1%,1.1%,1.2%,2.0%,1.2%,4.3%
21,1991,0.6%,0.3%,0.1%,1.6%,0.4%,0.4%,1.4%,1.5%,2.4%,0.8%,1.0%,4.6%,16.1%
22,1992,-2.8%,0.9%,-0.7%,0.5%,1.3%,1.3%,2.2%,1.1%,1.5%,-2.2%,0.1%,2.2%,5.3%
23,1993,2.8%,3.3%,0.7%,0.5%,0.4%,3.3%,1.0%,3.8%,0.7%,0.8%,-2.2%,0.9%,17.2%
24,1994,1.3%,-2.9%,-1.7%,0.3%,0.3%,0.4%,0.3%,0.4%,0.4%,-0.7%,-0.1%,-1.8%,-3.9%
25,1995,-1.0%,1.2%,1.0%,1.5%,6.0%,0.9%,-1.4%,2.6%,2.5%,1.1%,2.9%,3.8%,23.1%
26,1996,3.0%,-5.1%,0.7%,2.0%,0.8%,1.3%,0.7%,1.6%,2.8%,1.0%,3.7%,-1.5%,11.2%
27,1997,1.6%,1.2%,-2.0%,1.7%,2.2%,1.7%,2.5%,-1.9%,2.5%,-2.1%,1.0%,1.4%,9.9%
28,1998,1.7%,-0.3%,0.3%,0.3%,0.2%,1.4%,0.2%,1.5%,4.0%,-1.0%,0.6%,0.3%,9.7%
29,1999,1.0%,-3.4%,2.7%,2.9%,-2.6%,0.8%,-0.4%,0.1%,1.3%,1.5%,0.4%,1.7%,6.0%
30,2000,-0.3%,2.0%,2.1%,-0.7%,-1.1%,2.8%,2.0%,2.1%,-0.9%,-0.5%,2.2%,3.0%,13.4%
31,2001,1.8%,0.0%,0.7%,-1.6%,1.6%,-0.4%,0.3%,0.5%,-0.7%,1.7%,-3.0%,-1.4%,-0.6%
32,2002,0.8%,1.5%,-1.0%,1.1%,-0.3%,-2.2%,2.6%,3.9%,3.5%,-2.5%,-1.0%,3.7%,10.3%
33,2003,-0.0%,2.6%,-0.3%,4.0%,2.8%,-0.7%,-3.6%,1.5%,3.5%,0.2%,0.7%,1.7%,12.8%
34,2004,0.8%,0.7%,1.5%,-3.8%,-1.3%,0.3%,0.8%,1.9%,0.9%,1.2%,-0.8%,2.0%,4.2%
35,2005,1.3%,-0.6%,-2.0%,2.0%,1.5%,1.4%,-1.3%,2.0%,-1.2%,-1.5%,0.9%,1.0%,3.4%
36,2006,0.8%,0.9%,-0.5%,0.2%,-0.7%,0.1%,0.4%,0.5%,0.3%,0.7%,1.6%,-1.0%,3.2%
37,2007,-0.3%,1.7%,-0.3%,0.9%,-0.5%,-1.7%,0.3%,1.2%,0.6%,0.8%,4.5%,-0.2%,7.0%
38,2008,3.0%,0.7%,1.1%,-2.3%,-1.6%,-0.1%,0.0%,0.1%,-1.9%,-0.6%,4.8%,6.2%,9.5%
39,2009,-5.9%,-0.7%,2.5%,-2.4%,2.7%,2.3%,3.3%,0.7%,4.3%,-0.5%,1.5%,0.6%,8.2%
40,2010,-0.4%,0.6%,1.6%,1.6%,-2.7%,1.1%,0.6%,4.8%,-0.3%,-0.8%,-2.5%,0.8%,4.2%
41,2011,0.1%,0.7%,0.4%,1.3%,0.5%,-0.3%,2.0%,3.5%,5.1%,-1.0%,1.0%,1.9%,16.2%
42,2012,0.9%,-1.6%,-2.3%,1.3%,-1.9%,-0.5%,2.7%,-0.0%,0.1%,0.5%,0.4%,0.6%,0.1%
43,2013,-1.3%,0.6%,0.2%,1.0%,-2.3%,-1.0%,-0.1%,-0.5%,0.3%,0.8%,0.1%,-0.1%,-2.3%
44,2014,0.4%,1.2%,0.4%,0.9%,1.8%,-0.1%,0.0%,2.7%,-2.0%,1.7%,1.2%,1.5%,10.0%
45,2015,5.2%,-3.4%,0.7%,-1.8%,-1.2%,-1.7%,-0.1%,-0.9%,-0.0%,-0.2%,-0.1%,-0.4%,-4.2%
46,2016,3.4%,1.9%,0.1%,0.8%,0.0%,4.7%,1.5%,0.7%,0.3%,-2.4%,-4.2%,1.0%,7.9%
47,2017,0.3%,0.5%,-0.0%,0.3%,0.6%,0.1%,0.4%,2.0%,-0.9%,0.1%,0.1%,1.4%,5.2%
48,2018,-1.8%,-1.1%,0.1%,0.1%,-0.0%,,,,,,,,-2.8%
