,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1970,-2.5%,3.3%,-0.1%,-5.0%,-3.3%,-2.2%,3.9%,1.9%,4.1%,-0.1%,2.9%,3.6%,5.9%
1,1971,4.1%,2.0%,3.0%,1.0%,-1.8%,-1.0%,-1.2%,3.7%,0.2%,-1.0%,-0.1%,4.3%,13.6%
2,1972,3.2%,2.5%,0.1%,0.6%,3.0%,2.3%,1.1%,1.7%,-1.4%,0.0%,1.9%,0.0%,16.0%
3,1973,-3.0%,0.5%,2.9%,0.3%,1.9%,4.9%,1.4%,-5.1%,2.2%,-0.6%,-6.4%,4.1%,2.6%
4,1974,5.6%,3.9%,1.8%,-1.7%,-3.4%,-2.2%,-4.3%,-1.2%,-3.1%,6.2%,4.1%,-0.3%,4.7%
5,1975,7.1%,3.7%,1.1%,0.2%,3.8%,3.2%,-2.5%,-2.8%,-3.5%,3.6%,1.1%,0.4%,16.0%
6,1976,5.1%,2.2%,1.1%,-0.1%,-1.7%,2.2%,-1.2%,-0.9%,3.3%,0.6%,2.3%,4.8%,19.0%
7,1977,-1.6%,0.5%,1.1%,0.4%,-0.7%,2.8%,-0.4%,0.3%,1.3%,-0.5%,2.2%,0.9%,6.5%
8,1978,-0.7%,0.8%,1.7%,2.1%,2.9%,-0.4%,4.7%,3.7%,0.5%,-3.9%,-3.5%,4.2%,12.2%
9,1979,4.2%,-0.0%,2.5%,0.9%,2.5%,3.1%,2.4%,4.0%,5.6%,-6.6%,5.4%,8.2%,36.5%
10,1980,6.5%,-3.7%,-10.2%,7.3%,5.4%,6.7%,0.2%,0.8%,1.5%,-1.2%,2.6%,-1.6%,13.8%
11,1981,-3.4%,-0.9%,4.7%,-2.3%,1.9%,-1.7%,-2.1%,-2.7%,-2.5%,5.0%,5.1%,-3.3%,-2.8%
12,1982,-1.3%,-2.4%,-1.6%,5.1%,-2.2%,-2.2%,2.7%,10.2%,2.3%,8.2%,3.9%,2.2%,26.9%
