,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1976,7.6%,0.4%,0.8%,-0.0%,-1.0%,2.4%,-1.0%,0.3%,1.1%,-2.1%,1.3%,3.4%,13.6%
1,1977,-0.8%,-0.4%,0.3%,1.6%,-0.2%,3.1%,-1.3%,0.3%,1.3%,0.6%,0.4%,2.5%,7.6%
2,1978,-0.1%,0.8%,3.9%,1.9%,2.4%,1.3%,6.3%,2.8%,0.8%,-3.2%,-2.1%,2.8%,18.8%
3,1979,2.5%,-1.2%,3.1%,0.5%,-1.7%,3.5%,0.9%,3.9%,1.8%,-6.9%,4.0%,1.9%,12.5%
4,1980,5.3%,1.3%,-8.6%,1.8%,3.1%,3.6%,2.5%,2.3%,2.7%,2.9%,4.7%,-1.8%,20.8%
5,1981,-2.5%,0.7%,4.1%,1.2%,-0.7%,-0.4%,-1.7%,-0.8%,-0.0%,1.2%,1.3%,-0.1%,2.0%
6,1982,0.5%,-0.4%,1.1%,1.1%,1.0%,0.7%,1.2%,2.3%,1.5%,4.5%,2.5%,2.9%,20.5%
7,1983,1.4%,2.2%,2.9%,6.2%,-0.4%,2.6%,-1.8%,-0.8%,2.1%,-1.1%,1.8%,1.9%,18.0%
8,1984,2.4%,-0.2%,3.9%,-0.3%,-4.0%,0.0%,-1.8%,1.1%,0.4%,1.1%,0.6%,1.3%,4.4%
9,1985,2.4%,0.5%,2.2%,0.8%,4.5%,2.2%,1.4%,1.8%,1.2%,5.6%,4.5%,4.1%,35.7%
10,1986,1.6%,8.4%,8.7%,2.4%,0.0%,4.7%,-0.0%,7.6%,-4.5%,0.2%,3.0%,0.8%,37.1%
11,1987,9.0%,2.1%,4.1%,3.3%,1.0%,1.6%,2.3%,3.9%,-0.6%,-15.0%,0.7%,1.5%,12.7%
12,1988,1.0%,2.2%,3.0%,1.2%,-0.8%,0.3%,1.4%,-2.8%,1.2%,2.6%,1.8%,1.2%,12.7%
13,1989,3.9%,-0.0%,0.9%,2.9%,0.1%,-0.0%,7.3%,-1.0%,2.2%,-2.6%,2.3%,2.3%,19.2%
14,1990,-4.7%,-0.6%,0.9%,-1.2%,1.6%,0.1%,0.5%,-1.8%,1.3%,0.3%,0.3%,0.5%,-2.9%
15,1991,0.5%,2.4%,0.1%,0.5%,1.9%,-2.7%,2.2%,1.1%,1.2%,1.0%,-3.1%,6.2%,11.6%
16,1992,-1.2%,-0.7%,-0.9%,0.9%,0.9%,-1.1%,1.8%,-1.0%,0.9%,0.4%,1.9%,1.5%,3.3%
17,1993,2.0%,1.7%,4.0%,3.0%,1.7%,0.8%,2.0%,4.4%,-0.2%,1.3%,-5.0%,4.0%,21.2%
18,1994,5.4%,-1.2%,-3.8%,2.0%,0.2%,-0.2%,0.6%,1.6%,-1.6%,1.6%,-2.7%,0.3%,1.8%
19,1995,-0.4%,1.1%,1.1%,3.1%,1.6%,0.8%,2.8%,-0.9%,2.3%,-0.9%,2.7%,3.1%,17.6%
20,1996,1.4%,0.7%,1.5%,1.7%,0.2%,0.6%,-2.8%,1.8%,3.5%,1.1%,5.1%,-0.6%,15.0%
21,1997,1.3%,-0.1%,-1.8%,2.5%,3.8%,4.2%,4.4%,-5.0%,5.1%,-4.0%,1.4%,1.7%,13.7%
22,1998,0.1%,5.1%,4.2%,0.7%,-0.8%,1.7%,-0.0%,-11.0%,1.4%,1.5%,3.7%,3.8%,9.9%
23,1999,1.0%,-2.3%,2.5%,4.7%,-3.3%,3.3%,0.3%,-0.4%,-0.2%,3.1%,1.5%,6.1%,17.1%
24,2000,-4.1%,2.4%,2.9%,-3.9%,-0.9%,3.6%,-1.6%,2.8%,-2.1%,-0.8%,-1.3%,1.1%,-2.3%
25,2001,0.4%,-0.8%,-0.5%,0.3%,0.7%,-0.1%,0.4%,-0.3%,0.2%,0.3%,0.1%,0.1%,0.8%
26,2002,0.2%,0.3%,0.1%,-0.7%,0.3%,-1.4%,-0.5%,0.7%,0.2%,-0.2%,-0.0%,0.6%,-0.5%
27,2003,0.3%,0.5%,-0.4%,-0.2%,1.4%,1.0%,0.8%,2.5%,0.8%,6.0%,2.0%,5.6%,22.0%
28,2004,1.6%,2.1%,0.4%,-3.6%,1.5%,2.6%,-2.4%,1.3%,2.3%,2.6%,4.8%,3.0%,17.1%
