,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1976,5.1%,1.3%,0.7%,0.4%,-0.9%,1.8%,-1.5%,1.2%,1.0%,-0.5%,1.8%,3.2%,14.3%
1,1977,0.1%,0.1%,0.5%,1.1%,-0.1%,2.4%,-1.5%,0.5%,0.8%,0.3%,1.9%,2.4%,8.7%
2,1978,0.1%,0.9%,4.7%,2.0%,2.1%,-1.0%,4.3%,2.7%,1.4%,-2.9%,-0.2%,1.8%,16.8%
3,1979,3.3%,0.8%,2.6%,1.4%,-1.6%,3.8%,0.5%,6.2%,1.3%,-6.3%,3.9%,1.9%,18.7%
4,1980,5.1%,0.8%,-8.7%,1.3%,2.5%,4.2%,3.2%,1.7%,2.3%,3.7%,1.9%,-2.3%,16.1%
5,1981,-1.3%,0.9%,2.9%,1.2%,0.0%,0.6%,-0.6%,-0.7%,-0.1%,1.2%,1.7%,-0.0%,6.0%
6,1982,0.6%,0.1%,1.1%,1.2%,1.0%,-0.2%,1.5%,2.2%,2.1%,4.4%,2.1%,2.4%,19.8%
7,1983,1.3%,1.5%,3.0%,4.8%,-0.2%,1.8%,-1.5%,-0.2%,0.7%,-0.3%,1.4%,2.2%,15.2%
8,1984,2.2%,0.1%,2.7%,-0.0%,-1.7%,-0.3%,-2.1%,1.6%,1.7%,1.5%,1.1%,1.3%,8.3%
9,1985,2.6%,0.3%,1.8%,0.7%,4.1%,1.7%,1.0%,1.0%,0.4%,4.4%,2.9%,2.9%,26.4%
10,1986,-0.0%,5.7%,6.4%,1.3%,-0.8%,4.1%,0.1%,4.9%,-3.3%,0.8%,2.0%,0.1%,23.1%
11,1987,6.1%,0.7%,3.3%,1.7%,1.2%,2.0%,2.0%,1.2%,-0.2%,-10.0%,0.5%,0.4%,8.4%
12,1988,1.4%,1.1%,2.4%,1.2%,0.0%,0.3%,0.7%,-1.5%,0.7%,2.1%,1.2%,2.4%,12.5%
13,1989,2.6%,0.5%,1.7%,2.5%,0.3%,1.5%,3.8%,-0.0%,1.8%,-1.2%,1.5%,1.9%,18.1%
14,1990,-3.8%,-0.2%,0.2%,-1.0%,1.0%,0.5%,0.6%,1.4%,3.4%,-0.9%,-0.7%,0.4%,0.8%
15,1991,-0.5%,1.6%,1.0%,0.9%,1.3%,-1.9%,1.7%,1.1%,1.6%,0.5%,-1.8%,5.2%,10.9%
16,1992,-0.2%,-0.6%,-0.9%,0.4%,1.6%,-0.5%,2.1%,-0.2%,1.2%,-0.2%,1.3%,1.5%,5.5%
17,1993,2.6%,2.3%,3.6%,0.8%,0.6%,1.5%,1.4%,3.2%,0.9%,0.4%,-3.8%,2.1%,16.5%
18,1994,3.5%,-0.3%,-2.8%,1.3%,0.6%,-0.3%,0.4%,0.8%,-0.5%,0.9%,-1.1%,0.3%,2.5%
19,1995,0.3%,0.5%,1.0%,2.4%,1.7%,0.2%,1.6%,0.1%,1.9%,-0.4%,2.1%,3.8%,16.1%
20,1996,0.4%,1.1%,1.8%,1.7%,0.2%,1.1%,-1.5%,2.9%,2.9%,1.1%,4.0%,2.1%,19.2%
21,1997,0.4%,-1.0%,-0.7%,0.8%,2.1%,2.8%,3.3%,-2.8%,4.4%,-2.1%,1.2%,1.5%,10.2%
22,1998,0.3%,2.2%,2.5%,-0.1%,-0.3%,1.1%,-0.4%,-4.8%,1.5%,0.7%,1.8%,2.1%,6.8%
23,1999,0.7%,-1.5%,1.5%,2.8%,-2.2%,2.4%,0.1%,0.4%,0.8%,1.2%,1.1%,4.1%,11.7%
24,2000,-0.8%,2.3%,1.0%,-2.2%,1.1%,3.4%,-1.3%,2.7%,-0.2%,-1.4%,0.1%,1.3%,5.9%
25,2001,0.7%,-0.5%,-0.2%,0.8%,0.5%,0.7%,0.3%,0.7%,-0.2%,0.0%,0.7%,0.3%,3.9%
26,2002,0.2%,0.7%,0.6%,-0.2%,0.4%,0.4%,-0.7%,1.7%,-0.2%,-1.1%,0.0%,1.4%,3.4%
27,2003,1.2%,1.2%,-1.7%,-1.0%,2.6%,1.1%,0.9%,2.2%,0.9%,3.6%,2.3%,4.6%,19.2%
28,2004,2.1%,2.9%,1.8%,-4.7%,2.6%,1.6%,-0.0%,2.5%,2.8%,3.5%,2.3%,1.6%,20.7%
29,2005,-1.3%,3.7%,-0.2%,-0.8%,1.5%,3.2%,3.5%,1.3%,1.0%,-3.3%,1.9%,2.2%,13.3%
30,2006,5.2%,-0.6%,2.8%,2.1%,-2.1%,0.9%,1.6%,1.0%,0.1%,2.5%,3.0%,-0.1%,17.5%
31,2007,1.8%,-0.5%,0.5%,1.6%,0.9%,-2.3%,-1.3%,0.6%,3.7%,3.3%,-1.0%,1.0%,8.5%
