,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1988,1.3%,2.7%,-2.1%,-0.1%,-0.6%,4.4%,-0.7%,-1.4%,2.9%,1.8%,-2.0%,0.8%,7.0%
1,1989,4.0%,-1.7%,1.3%,3.6%,3.0%,2.6%,5.0%,0.1%,-0.3%,-0.3%,0.9%,0.7%,20.4%
2,1990,-4.4%,-0.4%,-2.0%,-1.7%,6.2%,1.2%,0.5%,-6.1%,1.0%,2.1%,3.8%,2.0%,1.5%
3,1991,1.1%,3.2%,3.7%,1.3%,1.8%,-2.9%,2.7%,1.9%,1.3%,-0.1%,-1.5%,8.5%,22.9%
4,1992,-0.2%,-0.3%,-1.6%,0.7%,2.7%,-0.6%,4.3%,-0.2%,1.4%,-0.7%,2.2%,2.2%,10.2%
5,1993,3.1%,3.7%,3.7%,-2.3%,1.0%,1.5%,3.0%,-1.0%,-0.1%,1.2%,-2.1%,2.1%,14.4%
6,1994,1.4%,0.5%,-1.9%,-0.3%,2.2%,-1.6%,0.6%,1.6%,-0.9%,-1.1%,-2.6%,0.4%,-1.7%
7,1995,2.8%,3.6%,1.5%,2.1%,6.1%,1.5%,0.8%,1.6%,2.9%,0.1%,2.8%,3.3%,33.1%
8,1996,2.1%,0.0%,-0.1%,0.2%,1.6%,0.7%,-1.3%,1.6%,3.3%,3.4%,5.4%,1.7%,20.2%
9,1997,1.9%,0.5%,-2.7%,2.0%,3.5%,3.7%,6.1%,-3.1%,5.5%,-0.5%,2.7%,2.1%,23.6%
10,1998,1.0%,1.4%,2.4%,-0.5%,-0.2%,2.4%,-2.8%,-1.3%,5.4%,1.3%,2.0%,2.4%,14.1%
11,1999,1.7%,-4.0%,1.4%,1.9%,-0.5%,0.8%,-2.4%,-0.8%,-3.0%,1.2%,-0.4%,1.3%,-2.9%
12,2000,-2.4%,0.9%,2.7%,0.2%,-0.3%,2.2%,3.2%,1.2%,-1.2%,-1.2%,-0.5%,3.9%,9.0%
13,2001,0.6%,0.5%,0.2%,-0.8%,1.0%,2.5%,1.5%,2.4%,-0.3%,-1.7%,0.3%,0.9%,7.1%
14,2002,0.7%,2.7%,1.7%,1.8%,2.8%,0.2%,-2.0%,1.8%,1.2%,-2.6%,0.7%,4.7%,14.2%
15,2003,0.7%,-0.5%,-0.7%,1.6%,5.9%,-0.6%,3.1%,2.8%,1.6%,2.2%,3.0%,4.3%,25.9%
16,2004,1.0%,0.5%,3.9%,-8.8%,3.0%,2.0%,-0.4%,4.3%,0.6%,3.2%,4.5%,1.7%,15.7%
17,2005,-4.8%,2.8%,-1.7%,1.7%,0.9%,3.0%,3.3%,-1.4%,3.2%,-2.1%,4.8%,1.6%,11.4%
18,2006,6.6%,0.4%,3.5%,3.3%,-2.3%,-0.0%,2.6%,1.3%,-0.1%,3.6%,4.6%,-0.9%,24.6%
19,2007,4.3%,-0.8%,-0.6%,2.1%,0.1%,-4.0%,-3.4%,1.6%,4.8%,3.3%,-0.6%,1.9%,8.7%
20,2008,2.9%,2.6%,-1.2%,-3.1%,-1.5%,-1.6%,0.7%,-1.4%,0.4%,-5.7%,9.9%,8.1%,9.4%
21,2009,-6.9%,-1.0%,3.5%,-4.1%,-2.6%,-1.3%,2.4%,6.7%,3.5%,-0.9%,8.6%,0.5%,7.6%
22,2010,-3.6%,4.0%,5.2%,4.9%,-3.4%,-2.7%,3.5%,0.0%,5.9%,4.2%,0.0%,4.5%,24.1%
23,2011,-0.2%,4.6%,-0.1%,5.9%,-0.5%,-2.5%,2.7%,0.6%,-9.8%,5.3%,-0.7%,-1.1%,3.3%
24,2012,6.1%,-0.2%,2.3%,0.7%,-4.4%,2.5%,2.3%,0.4%,-0.6%,-1.1%,0.5%,0.7%,9.2%
25,2013,1.9%,1.2%,2.1%,4.4%,-3.4%,-2.1%,1.5%,-3.9%,2.5%,3.7%,-1.4%,0.5%,7.1%
26,2014,2.4%,3.3%,0.7%,2.1%,2.6%,1.0%,-0.2%,3.9%,-3.2%,5.1%,2.6%,1.7%,23.7%
27,2015,4.6%,-1.7%,0.4%,-2.8%,-0.5%,-3.6%,4.1%,-4.4%,0.8%,4.5%,-0.4%,-0.1%,0.6%
28,2016,-2.1%,2.0%,3.4%,0.7%,-1.2%,5.3%,3.3%,-2.4%,-0.4%,-3.5%,-1.5%,2.1%,5.6%
29,2017,0.8%,3.0%,-1.0%,0.9%,0.9%,1.2%,0.9%,1.1%,-0.1%,0.5%,2.2%,1.0%,11.9%
30,2018,-0.9%,-4.2%,-0.4%,-0.6%,1.0%,,,,,,,,-5.0%
