,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1975,3.2%,1.7%,-1.8%,-0.1%,2.2%,2.3%,-1.6%,0.0%,-2.1%,3.6%,-0.2%,2.9%,10.5%
1,1976,3.8%,1.4%,1.4%,0.7%,-1.6%,2.0%,0.9%,2.2%,1.4%,1.2%,3.1%,3.2%,21.5%
2,1977,-2.0%,0.2%,0.7%,0.6%,0.8%,2.6%,-0.7%,1.1%,-0.1%,-0.8%,2.1%,-0.1%,4.3%
3,1978,-1.2%,0.2%,1.6%,1.5%,-1.1%,-0.7%,2.1%,2.6%,-0.3%,-4.1%,1.7%,-0.1%,2.1%
4,1979,2.7%,-0.4%,3.4%,-0.2%,1.1%,4.4%,0.8%,3.3%,-0.9%,-7.6%,3.4%,1.7%,11.6%
5,1980,0.1%,-4.9%,-3.6%,8.7%,4.4%,3.6%,1.3%,-1.1%,-0.9%,2.1%,-0.2%,0.1%,9.5%
6,1981,-0.4%,-1.1%,2.9%,-2.2%,2.4%,0.1%,-1.8%,-3.4%,-3.2%,6.5%,6.7%,-2.8%,3.1%
7,1982,-0.2%,-0.6%,-0.4%,3.0%,0.5%,-2.8%,2.4%,6.4%,5.3%,8.9%,2.2%,2.7%,30.4%
8,1983,1.2%,2.0%,3.5%,5.1%,-0.8%,1.3%,-3.2%,0.2%,1.6%,0.6%,1.9%,0.8%,15.1%
9,1984,2.2%,-0.8%,-0.5%,0.4%,-3.7%,1.0%,1.8%,4.2%,4.0%,3.0%,1.5%,1.2%,15.0%
10,1985,4.7%,-0.3%,1.7%,1.3%,5.8%,1.5%,0.3%,-0.1%,-1.1%,3.0%,2.2%,2.9%,23.8%
11,1986,2.1%,5.0%,6.1%,-0.1%,-0.7%,4.1%,-1.5%,4.0%,-2.5%,2.5%,0.9%,-2.1%,18.8%
12,1987,5.0%,2.2%,0.1%,-2.2%,-0.5%,2.5%,0.5%,-0.5%,-1.9%,-7.8%,-0.9%,3.2%,-0.9%
13,1988,4.5%,2.5%,-1.5%,-0.4%,-1.0%,3.4%,-0.5%,-0.6%,2.8%,1.7%,-1.7%,0.3%,9.8%
14,1989,2.7%,-1.2%,1.0%,3.1%,3.1%,2.9%,3.5%,-0.9%,-0.1%,1.2%,0.9%,0.2%,17.4%
15,1990,-3.5%,0.1%,0.5%,-1.9%,3.5%,1.6%,0.4%,-4.5%,-2.1%,0.1%,5.1%,1.2%,-0.0%
16,1991,4.8%,1.4%,3.4%,1.3%,1.0%,-1.6%,1.6%,2.1%,2.5%,0.2%,0.1%,6.6%,25.8%
17,1992,-1.0%,-0.2%,-1.4%,0.2%,2.9%,0.6%,3.9%,0.7%,2.2%,-1.6%,0.7%,2.2%,9.3%
18,1993,3.6%,3.4%,2.9%,-1.4%,-0.3%,2.7%,0.5%,3.2%,1.4%,0.2%,-3.0%,0.6%,14.7%
19,1994,2.4%,-1.2%,-3.9%,0.3%,0.9%,-1.2%,1.6%,1.0%,-1.9%,-0.4%,-2.0%,2.5%,-2.1%
20,1995,1.3%,3.0%,1.2%,1.6%,4.3%,1.4%,1.4%,1.0%,2.4%,-0.2%,2.4%,2.7%,25.1%
21,1996,1.9%,-0.6%,-0.0%,0.1%,1.5%,1.2%,-0.9%,1.7%,2.8%,2.9%,4.2%,2.5%,18.5%
