,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1975,6.0%,1.4%,-1.8%,-0.7%,1.4%,3.2%,-0.7%,-0.8%,-2.4%,4.7%,1.3%,1.1%,13.1%
1,1976,6.9%,0.8%,1.8%,-0.2%,-1.0%,1.7%,1.3%,1.7%,1.7%,0.8%,2.8%,2.9%,23.1%
2,1977,-1.2%,0.4%,0.8%,1.2%,0.7%,2.5%,0.2%,0.9%,0.1%,-0.3%,2.6%,0.8%,9.0%
3,1978,-1.7%,1.2%,3.8%,2.5%,-2.4%,-0.5%,2.8%,3.8%,-0.1%,-6.2%,3.0%,2.8%,8.8%
4,1979,3.9%,1.5%,7.2%,0.8%,-1.0%,9.2%,4.3%,12.6%,-2.3%,-10.7%,3.5%,3.3%,34.9%
5,1980,7.5%,1.2%,-12.2%,-0.3%,5.0%,4.9%,7.2%,2.1%,0.5%,6.1%,2.5%,-4.4%,20.0%
6,1981,-0.6%,1.0%,2.9%,-0.1%,-0.3%,2.0%,-0.7%,-3.9%,-4.2%,5.9%,5.7%,-3.2%,4.0%
7,1982,-0.9%,-3.5%,-1.1%,3.4%,0.8%,-2.7%,-0.7%,6.8%,6.2%,7.2%,1.8%,3.0%,21.5%
8,1983,1.2%,2.0%,1.0%,4.9%,-0.1%,1.4%,-2.7%,-0.0%,-1.0%,1.1%,1.8%,1.6%,11.8%
9,1984,3.6%,0.4%,-0.2%,1.3%,-2.4%,-0.0%,-1.4%,3.6%,5.9%,2.5%,2.0%,1.9%,18.3%
10,1985,4.1%,0.9%,1.6%,1.2%,4.2%,1.5%,0.9%,-1.7%,-1.3%,2.7%,0.8%,3.2%,19.4%
11,1986,2.4%,3.7%,5.6%,0.0%,-3.0%,2.9%,-0.5%,2.9%,-1.6%,1.9%,0.6%,-0.3%,15.0%
12,1987,3.0%,1.6%,-0.3%,-2.4%,-0.7%,2.4%,-0.2%,0.3%,-2.0%,-14.8%,1.2%,2.0%,-10.8%
13,1988,4.0%,2.0%,-1.1%,-0.8%,-0.8%,2.7%,-0.1%,0.6%,2.2%,1.4%,-1.4%,0.3%,9.2%
14,1989,2.3%,-1.5%,1.5%,3.9%,3.6%,2.6%,2.1%,-1.0%,0.1%,-0.3%,0.9%,0.7%,15.8%
15,1990,-3.9%,0.6%,1.0%,-1.6%,6.5%,0.4%,0.3%,-4.5%,-3.3%,-1.3%,4.5%,0.8%,-1.1%
16,1991,6.0%,2.0%,1.2%,1.1%,1.0%,-0.3%,1.3%,2.3%,1.9%,1.0%,0.9%,3.3%,24.2%
17,1992,-1.2%,0.4%,-0.2%,0.6%,2.1%,1.6%,2.6%,0.9%,1.3%,-1.5%,0.2%,1.7%,8.7%
18,1993,2.8%,2.1%,1.0%,-0.1%,-0.0%,2.1%,0.6%,2.7%,0.6%,0.4%,-1.5%,0.6%,11.7%
19,1994,1.7%,-2.3%,-2.8%,-1.0%,1.1%,-1.4%,0.3%,1.6%,-2.1%,0.7%,-3.0%,2.5%,-4.8%
20,1995,-1.3%,2.8%,1.9%,2.3%,4.2%,1.2%,1.6%,0.6%,3.2%,-0.1%,2.7%,1.9%,23.2%
21,1996,2.2%,-0.6%,1.5%,1.1%,2.3%,0.9%,-4.0%,2.6%,4.1%,3.1%,6.2%,4.8%,26.8%
22,1997,3.5%,0.3%,-2.6%,1.1%,4.7%,4.2%,5.6%,-3.0%,6.8%,-2.6%,2.7%,2.1%,24.7%
23,1998,0.4%,1.4%,3.5%,-0.2%,-1.0%,2.1%,-1.8%,-6.9%,5.1%,1.1%,1.4%,2.7%,7.6%
24,1999,1.9%,-3.4%,2.5%,2.0%,-2.0%,3.7%,-2.8%,-0.5%,-1.8%,5.5%,1.7%,5.7%,12.7%
25,2000,-5.0%,-1.5%,9.6%,-2.9%,-1.3%,2.0%,-1.2%,1.8%,-1.4%,-1.3%,-0.8%,2.4%,-0.2%
26,2001,1.3%,-0.7%,0.2%,-1.5%,0.3%,0.2%,2.4%,1.4%,-1.4%,0.6%,-0.4%,-0.0%,2.3%
27,2002,0.4%,1.3%,-0.3%,1.7%,1.1%,2.1%,0.1%,1.7%,1.4%,-2.4%,0.1%,2.4%,9.9%
28,2003,-1.4%,2.1%,0.2%,1.2%,4.2%,-0.2%,-4.3%,0.9%,4.0%,0.7%,2.7%,3.0%,13.5%
29,2004,3.2%,1.7%,3.8%,-10.5%,2.1%,1.8%,-1.0%,3.3%,0.3%,2.4%,1.7%,3.0%,11.6%
30,2005,-3.9%,0.3%,-1.3%,0.5%,2.0%,1.1%,1.1%,-0.4%,-0.7%,-2.2%,3.7%,0.2%,0.2%
31,2006,4.3%,1.5%,3.4%,-1.9%,-3.0%,3.6%,3.0%,3.1%,2.0%,5.2%,3.5%,-1.0%,26.1%
32,2007,4.9%,-2.4%,-1.2%,2.1%,0.4%,-2.8%,-2.7%,1.9%,2.3%,1.3%,-0.8%,-0.4%,2.3%
33,2008,-0.1%,0.2%,1.1%,-0.8%,-0.9%,-1.3%,0.6%,1.6%,-0.5%,-2.8%,7.8%,5.2%,9.9%
34,2009,-3.9%,-0.7%,3.3%,-2.7%,-2.1%,-0.6%,0.8%,0.8%,1.2%,-0.3%,2.0%,-2.9%,-5.2%
35,2010,-0.7%,1.1%,0.7%,1.7%,0.2%,2.2%,2.1%,2.7%,0.6%,0.7%,-1.1%,-2.1%,8.3%
36,2011,0.4%,0.7%,-0.4%,2.2%,1.9%,-0.9%,2.0%,2.0%,-0.0%,1.7%,-0.4%,2.0%,11.8%
37,2012,1.8%,0.1%,-0.6%,1.6%,0.5%,0.7%,1.4%,0.4%,0.2%,-0.8%,0.7%,-0.3%,6.0%
38,2013,0.4%,1.2%,1.3%,1.7%,-1.7%,-2.1%,3.3%,-2.5%,2.8%,3.5%,1.8%,1.2%,10.9%
39,2014,-1.5%,3.2%,0.4%,0.7%,2.1%,1.0%,-0.6%,2.5%,-1.4%,1.8%,1.8%,-0.2%,10.1%
40,2015,1.3%,1.0%,-0.4%,0.0%,0.3%,-1.9%,1.9%,-3.7%,-0.2%,2.7%,-0.1%,-1.1%,-0.3%
41,2016,-0.3%,1.0%,1.4%,-0.0%,0.3%,2.7%,1.1%,-0.7%,0.0%,-1.6%,-2.5%,0.9%,2.3%
42,2017,0.9%,2.8%,0.1%,1.0%,1.2%,0.3%,1.6%,0.6%,0.9%,1.5%,1.6%,0.9%,14.3%
43,2018,1.8%,-2.8%,-2.1%,-0.2%,2.7%,,,,,,,,-0.7%
