,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1975,5.0%,1.6%,-1.9%,-0.2%,1.9%,2.4%,-1.3%,-0.3%,-1.9%,4.0%,-0.3%,3.6%,13.2%
1,1976,3.8%,1.2%,1.6%,0.5%,-1.4%,2.0%,0.9%,2.1%,1.5%,1.1%,3.0%,3.0%,20.9%
2,1977,-2.1%,0.1%,0.7%,0.6%,0.7%,2.4%,-0.6%,1.1%,-0.1%,-0.9%,1.8%,-0.2%,3.4%
3,1978,-1.4%,0.1%,2.0%,2.4%,-1.0%,-0.6%,2.5%,2.8%,-0.3%,-4.7%,2.0%,0.6%,4.2%
4,1979,2.8%,-0.4%,4.0%,0.1%,0.4%,4.8%,1.4%,4.6%,-1.3%,-7.6%,3.3%,1.4%,13.6%
5,1980,1.5%,-4.2%,-4.6%,8.0%,5.0%,3.6%,2.3%,-1.0%,-0.4%,2.4%,2.2%,-0.7%,14.3%
6,1981,-0.9%,-0.5%,2.8%,-2.3%,2.1%,0.3%,-1.5%,-3.7%,-3.6%,5.7%,6.8%,-3.5%,1.1%
7,1982,-0.5%,-1.2%,-0.3%,3.2%,0.0%,-2.7%,1.6%,7.0%,4.4%,9.3%,2.8%,2.0%,28.3%
8,1983,2.0%,1.7%,4.3%,5.6%,-0.4%,1.7%,-3.0%,0.4%,1.0%,1.0%,1.9%,0.7%,18.0%
9,1984,2.3%,-0.9%,-0.2%,0.6%,-3.5%,1.0%,1.1%,4.8%,4.0%,2.5%,1.3%,1.3%,14.8%
10,1985,4.9%,0.4%,1.4%,1.1%,5.1%,1.5%,0.5%,-0.3%,-1.3%,3.0%,2.3%,2.4%,23.0%
11,1986,2.3%,4.5%,5.7%,-0.3%,-0.4%,3.9%,-1.5%,4.1%,-2.6%,2.7%,0.7%,-2.8%,17.0%
12,1987,5.8%,2.6%,0.3%,-2.0%,-0.4%,2.8%,0.9%,-0.3%,-1.9%,-10.5%,-0.5%,3.6%,-0.4%
13,1988,4.6%,2.9%,-1.2%,-0.1%,-0.8%,3.4%,-0.0%,-0.7%,2.4%,1.3%,-1.5%,0.5%,11.1%
14,1989,2.8%,-1.0%,0.9%,2.7%,2.8%,2.5%,3.5%,-0.3%,-0.2%,0.6%,0.8%,0.4%,16.7%
15,1990,-3.0%,0.2%,0.7%,-1.7%,3.5%,1.4%,0.4%,-4.4%,-2.1%,-0.1%,5.0%,1.2%,0.8%
16,1991,5.4%,2.1%,3.7%,1.4%,1.3%,-1.6%,1.9%,1.8%,1.9%,0.4%,-0.1%,6.1%,26.7%
17,1992,-0.3%,-0.2%,-1.1%,0.5%,2.7%,0.4%,3.6%,0.4%,1.8%,-1.1%,1.0%,1.9%,9.9%
18,1993,3.3%,3.2%,3.4%,-1.6%,-0.0%,2.3%,0.6%,3.0%,1.4%,0.2%,-2.6%,0.6%,14.3%
19,1994,2.4%,-1.1%,-3.6%,0.4%,1.1%,-1.5%,1.5%,1.1%,-2.1%,-0.7%,-2.3%,3.2%,-1.7%
20,1995,1.1%,3.1%,1.1%,1.5%,4.6%,1.5%,1.3%,1.1%,2.3%,-0.3%,2.3%,3.0%,25.0%
21,1996,1.8%,-0.5%,-0.1%,0.1%,1.5%,1.2%,-0.7%,2.0%,2.8%,3.0%,4.5%,3.8%,21.0%
22,1997,1.7%,0.2%,-1.6%,0.7%,2.9%,3.4%,4.2%,-1.6%,5.5%,-1.0%,1.8%,1.8%,19.1%
23,1998,0.6%,0.3%,1.8%,-1.0%,-0.3%,0.8%,-2.9%,-5.4%,4.7%,-0.0%,1.4%,0.6%,0.2%
24,1999,0.4%,-3.1%,0.7%,3.2%,-0.8%,-0.1%,-1.5%,-0.5%,-0.7%,0.2%,-0.4%,1.0%,-1.7%
25,2000,-1.1%,0.1%,3.5%,0.7%,-0.1%,2.3%,2.5%,1.0%,0.3%,-1.0%,0.0%,3.0%,11.6%
26,2001,2.2%,-2.0%,-0.6%,1.7%,0.7%,1.0%,1.0%,0.3%,-2.3%,1.0%,2.0%,0.2%,5.3%
27,2002,0.2%,0.7%,0.5%,0.3%,0.8%,-0.5%,-2.1%,1.9%,-0.3%,-0.8%,1.4%,1.8%,3.8%
