,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,0.1%,-0.3%,-0.1%,1.4%,2.1%,0.2%,1.1%,0.9%,0.2%,0.8%,-0.8%,0.6%,6.3%
1,1974,1.2%,0.4%,-1.9%,0.7%,0.1%,0.6%,2.6%,0.3%,1.5%,1.2%,1.3%,0.9%,9.3%
2,1975,-1.1%,1.8%,-0.6%,0.4%,1.2%,2.7%,-1.7%,-0.6%,-2.2%,-0.1%,0.1%,1.0%,0.9%
3,1976,2.4%,2.1%,1.5%,0.3%,-1.2%,2.1%,-0.7%,1.3%,1.5%,0.3%,2.0%,3.0%,15.3%
4,1977,-1.3%,0.2%,0.6%,1.4%,0.1%,2.4%,-1.0%,0.6%,0.3%,-0.6%,2.7%,1.2%,6.8%
5,1978,-0.7%,1.0%,3.2%,2.3%,1.2%,-0.9%,2.5%,2.4%,0.1%,-5.3%,0.8%,-0.6%,5.9%
6,1979,1.9%,-0.0%,1.7%,0.7%,0.2%,3.9%,0.4%,5.2%,0.1%,-7.2%,2.1%,2.5%,11.5%
7,1980,4.9%,0.2%,-8.6%,1.1%,1.7%,2.9%,3.4%,1.1%,1.6%,3.7%,3.2%,-3.4%,11.6%
8,1981,-1.6%,1.2%,3.0%,0.8%,1.2%,-0.1%,-1.1%,-1.3%,1.2%,1.2%,3.5%,-0.1%,7.9%
9,1982,0.8%,1.1%,1.0%,1.9%,1.0%,-0.4%,2.1%,1.6%,1.3%,8.2%,3.4%,1.4%,25.9%
10,1983,2.2%,1.8%,2.6%,4.3%,0.7%,1.9%,-1.3%,0.2%,-0.3%,-1.2%,1.2%,0.7%,13.4%
11,1984,1.6%,0.1%,1.0%,0.0%,0.7%,-0.0%,-1.5%,1.1%,2.2%,1.8%,0.7%,1.0%,8.9%
12,1985,3.5%,0.7%,0.9%,-0.2%,4.2%,1.3%,0.7%,-0.2%,-1.6%,2.6%,2.3%,1.0%,16.0%
13,1986,-0.0%,4.5%,5.1%,0.2%,0.3%,3.0%,-2.7%,3.6%,-3.8%,1.3%,1.1%,-2.1%,10.5%
